pair,count
"('た', 'た')",70
"('て', 'ん')",70
"('だ', 'で')",70
"('その', 'の')",70
"('が', 'だ')",69
"('か', 'と')",69
"('の', 'へ')",69
"('事', '猫')",68
"('と', 'もの')",68
"('この', 'の')",67
"('に', 'よう')",67
"('た', 'ない')",66
"('が', '事')",66
"('た', 'だ')",66
"('か', 'も')",66
"('する', 'に')",66
"('吾輩', '猫')",65
"('に', '一')",65
"('で', '事')",65
"('する', 'を')",64
"('で', '吾輩')",63
"('は', 'ん')",61
"('から', 'も')",61
"('と', '人間')",61
"('も', '事')",60
"('この', 'は')",60
"('は', '云う')",59
"('その', 'に')",58
"('ある', 'た')",58
"('か', 'で')",58
"('て', '一')",58
"('し', 'ない')",57
"('いる', 'は')",57
"('に', '云う')",57
"('を', '人間')",57
"('ある', 'し')",56
"('だ', 'も')",56
"('も', 'も')",55
"('た', '事')",55
"('から', 'だ')",55
"('は', 'もの')",54
"('を', '云う')",54
"('の', '見')",54
"('する', 'は')",54
"('は', 'よう')",54
"('は', '一')",53
"('で', 'もの')",53
"('て', '云う')",52
"('な', 'も')",52
"('する', 'と')",52
"('など', 'の')",52
"('いる', '猫')",51
"('の', '主人')",51
"('が', '吾輩')",50
"('から', 'ない')",50
"('ある', 'ない')",49
"('する', 'て')",49
"('この', 'を')",49
"('が', 'もの')",49
"('その', 'を')",48
"('いる', 'と')",48
"('と', 'よう')",48
"('を', 'ん')",48
"('この', 'に')",48
"('いる', 'を')",47
"('た', '吾輩')",47
"('て', 'よう')",47
"('し', '事')",47
"('もの', 'を')",47
"('いる', 'に')",46
"('か', 'し')",46
"('か', 'ない')",46
"('ぬ', 'の')",46
"('なっ', 'の')",46
"('人間', '猫')",46
"('もの', '猫')",45
"('ん', '猫')",45
"('が', '人間')",45
"('が', 'ん')",45
"('た', 'な')",45
"('ない', '事')",44
"('と', 'ん')",44
"('この', 'て')",44
"('この', 'と')",44
"('だ', 'ない')",43
"('か', 'だ')",43
"('の', 'まで')",43
"('の', '上')",43
"('の', 'れ')",43
"('くらい', 'の')",43
"('て', '見')",43
"('の', '先生')",43
"('に', 'まで')",42
"('だけ', 'の')",42
"('よう', 'を')",42
"('に', '人')",42
"('この', 'た')",42
"('の', 'ます')",42
"('も', 'もの')",41
"('いる', 'が')",41
"('と', '一')",41
"('で', '人間')",41
"('は', 'ます')",41
"('て', 'ます')",41
"('その', 'は')",40
"('ある', '事')",40
"('さえ', 'の')",40
"('の', '中')",40
"('する', 'で')",40
"('た', 'もの')",40
"('な', 'ない')",40
"('て', '主人')",40
"('ます', 'を')",40
"('ず', 'の')",40
"('を', '一')",39
"('が', 'する')",39
"('する', '猫')",39
"('が', '云う')",39
"('の', '等')",39
"('ぬ', 'は')",38
"('ところ', 'の')",38
"('その', 'て')",38
"('も', '吾輩')",38
"('さ', 'の')",38
"('て', 'など')",38
"('など', 'に')",38
"('たら', 'の')",38
"('と', 'ます')",38
"('ず', 'に')",38
"('ある', '吾輩')",37
"('いる', 'で')",37
"('し', 'だ')",37
"('云う', '猫')",37
"('この', 'で')",37
"('そう', 'の')",37
"('を', '主人')",37
"('が', 'よう')",37
"('も', '人間')",37
"('も', 'ん')",37
"('を', '人')",37
"('い', 'て')",36
"('この', '猫')",36
"('の', 'ば')",36
"('よう', '猫')",36
"('で', 'よう')",36
"('なく', 'の')",36
"('へ', 'を')",36
"('て', 'なっ')",36
"('その', '猫')",35
"('ある', 'から')",35
"('に', '主人')",35
"('に', '見')",35
"('が', 'この')",35
"('な', 'もの')",35
"('その', 'と')",34
"('の', 'ほど')",34
"('と', '見')",34
"('て', 'ば')",34
"('なる', 'に')",34
"('など', 'は')",34
"('か', 'な')",34
"('た', '云う')",34
"('が', '一')",33
"('猫', '猫')",33
"('の', '顔')",33
"('いる', 'も')",33
"('から', 'し')",33
"('か', 'から')",33
"('か', 'か')",33
"('ながら', 'の')",33
"('の', '御')",33
"('で', 'ん')",33
"('ある', 'な')",33
"('で', 'ます')",33
"('た', 'ます')",33
"('一', '猫')",32
"('で', '一')",32
"('が', '何')",32
"('し', '吾輩')",32
"('ない', '吾輩')",32
"('ある', 'だ')",32
"('と', 'れ')",32
"('の', '君')",32
"('に', 'ば')",32
"('は', '見')",32
"('の', 'より')",32
"('ね', 'は')",32
"('たら', 'に')",32
"('と', '主人')",31
"('の', '家')",31
"('た', '人間')",31
"('た', 'ん')",31
"('から', 'な')",31
"('の', '人')",31
"('は', '主人')",31
"('に', '至る')",31
"('は', 'まで')",31
"('ず', 'て')",31
"('なら', 'に')",30
"('に', 'ぬ')",30
"('の', '何')",30
"('いい', 'の')",30
"('ある', 'か')",30
"('そう', 'と')",30
"('た', 'よう')",30
"('な', 'よう')",30
"('なっ', 'に')",30
"('なら', 'の')",30
"('する', 'も')",30
"('は', 'れ')",30
"('に', 'れ')",30
"('など', 'を')",30
"('て', '人')",30
"('そう', 'て')",30
"('て', 'なく')",30
"('それ', 'の')",30
"('い', 'の')",30
"('て', 'ぬ')",29
"('なら', 'は')",29
"('これ', 'の')",29
"('は', 'ば')",29
"('あっ', 'の')",29
"('この', 'も')",29
"('が', '見')",29
"('から', '事')",29
"('さ', 'に')",29
"('は', '人')",29
"('と', '人')",29
"('て', 'へ')",29
"('に', 'へ')",29
"('たら', 'と')",29
"('たら', 'を')",29
"('ため', 'の')",29
"('い', 'に')",28
"('と', 'ぬ')",28
"('に', '何')",28
"('て', 'まで')",28
"('が', 'まで')",28
"('から', '吾輩')",28
"('で', '云う')",28
"('し', '云う')",28
"('くらい', 'を')",28
"('ない', '人間')",28
"('の', '自分')",28
"('と', 'など')",28
"('さ', 'て')",28
"('さ', 'は')",28
"('だ', '事')",28
"('は', 'へ')",28
"('に', '先生')",28
"('ず', 'を')",28
"('と', 'なる')",27
"('も', '云う')",27
"('を', '御')",27
"('を', '見')",27
"('を', '君')",27
"('そう', 'に')",27
"('ある', 'する')",27
"('そう', 'は')",27
"('た', '主人')",27
"('し', 'な')",27
"('と', 'へ')",27
"('か', 'ん')",27
"('か', 'もの')",27
"('と', 'ね')",27
"('に', '等')",27
"('た', '御')",27
"('と', 'ば')",27
"('か', '事')",27
"('ず', 'と')",27
"('た', '一')",26
"('い', 'と')",26
"('なら', '猫')",26
"('て', '何')",26
"('の', '出来')",26
"('ところ', 'は')",26
"('て', 'ところ')",26
"('いる', 'し')",26
"('ながら', 'に')",26
"('と', '御')",26
"('ところ', 'に')",26
"('だけ', 'は')",26
"('だけ', 'て')",26
"('て', 'れ')",26
"('で', 'など')",26
"('は', 'より')",26
"('で', '主人')",26
"('と', 'より')",26
"('だ', 'な')",26
"('ぬ', 'を')",26
"('と', 'なっ')",26
"('なく', 'を')",26
"('ず', 'は')",26
"('ぬ', '猫')",25
"('に', '上')",25
"('て', 'ほど')",25
"('しかし', 'の')",25
"('し', '人間')",25
"('くらい', 'に')",25
"('その', 'で')",25
"('そう', 'で')",25
"('の', '年')",25
"('だ', 'ん')",25
"('は', '御')",25
"('た', 'へ')",25
"('その', 'も')",24
"('で', 'ぬ')",24
"('の', '来')",24
"('と', '何')",24
"('ながら', 'を')",24
"('の', '彼')",24
"('あっ', 'て')",24
"('ば', '猫')",24
"('ない', '云う')",24
"('な', '吾輩')",24
"('へ', '猫')",24
"('は', '等')",24
"('て', '等')",24
"('だろう', 'の')",24
"('が', 'その')",23
"('も', '一')",23
"('は', '何')",23
"('さえ', 'は')",23
"('さえ', 'て')",23
"('いる', 'だ')",23
"('ある', 'よう')",23
"('の', '二')",23
"('じゃ', 'の')",23
"('くらい', 'は')",23
"('と', '自分')",23
"('て', '自分')",23
"('の', 'や')",23
"('に', '年')",23
"('それ', 'は')",23
"('ね', 'を')",23
"('は', '君')",23
"('の', '間')",23
"('たら', 'て')",23
"('に', 'ます')",23
"('と', '二')",23
"('の', '三')",23
"('ある', '一')",22
"('は', '度')",22
"('に', '出来')",22
"('た', '何')",22
"('て', '顔')",22
"('そう', 'を')",22
"('だけ', 'に')",22
"('あっ', 'は')",22
"('が', 'ば')",22
"('で', 'ば')",22
"('は', '家')",22
"('で', 'なっ')",22
"('に', '中')",22
"('事', '云う')",22
"('ある', '人間')",22
"('くらい', 'と')",22
"('くらい', '猫')",22
"('くらい', 'て')",22
"('あろう', 'の')",22
"('が', 'など')",22
"('って', 'に')",22
"('人', '猫')",22
"('が', '人')",22
"('さえ', 'と')",22
"('って', 'の')",22
"('なく', 'に')",22
"('この', 'し')",22
"('だ', 'ます')",22
"('とっ', 'の')",22
"('この', '事')",22
"('に', '以上')",22
"('で', '何')",21
"('いる', 'た')",21
"('さえ', 'を')",21
"('し', 'し')",21
"('だ', 'だ')",21
"('さえ', 'で')",21
"('まで', '猫')",21
"('て', '上')",21
"('て', '彼')",21
"('て', '中')",21
"('どう', 'の')",21
"('も', '主人')",21
"('主人', '猫')",21
"('猫', '見')",21
"('は', '二')",21
"('し', 'その')",21
"('が', 'さ')",21
"('で', 'れ')",21
"('た', '見')",21
"('な', 'ん')",21
"('で', '見')",21
"('の', '出来る')",21
"('なく', 'は')",21
"('の', '寒月')",21
"('です', 'は')",21
"('だ', 'もの')",21
"('の', '至る')",21
"('なっ', 'を')",21
"('た', 'たら')",21
"('ござい', 'を')",21
"('ござい', 'の')",21
"('ず', 'も')",21
"('たる', 'の')",21
"('の', '同じ')",21
"('その', 'た')",20
"('事', '吾輩')",20
"('もの', '事')",20
"('何', '猫')",20
"('いい', 'と')",20
"('これ', 'は')",20
"('いる', 'か')",20
"('まで', 'を')",20
"('も', '見')",20
"('そう', '猫')",20
"('ば', 'を')",20
"('ない', 'よう')",20
"('も', 'よう')",20
"('て', 'やり')",20
"('し', 'もの')",20
"('さ', 'と')",20
"('が', 'れ')",20
"('など', '猫')",20
"('た', 'れ')",20
"('た', 'など')",20
"('を', '自分')",20
"('と', 'なく')",20
"('の', '疋')",20
"('さえ', 'に')",20
"('が', '主人')",20
"('に', 'より')",20
"('て', '年')",20
"('です', 'の')",20
"('の', '思う')",20
"('と', 'ところ')",20
"('た', 'なく')",20
"('で', '御')",20
"('に', '間')",20
"('が', 'ます')",20
"('ござい', 'で')",20
"('の', '心')",20
"('て', '先生')",20
"('と', '先生')",20
"('し', '人')",20
"('を', '以上')",20
"('ない', 'もの')",19
"('と', '思っ')",19
"('おら', 'に')",19
"('ところ', 'を')",19
"('と', '上')",19
"('ほど', 'を')",19
"('せ', 'に')",19
"('と', 'どう')",19
"('の', '者')",19
"('と', '君')",19
"('この', 'ない')",19
"('に', '二')",19
"('ある', 'もの')",19
"('だけ', 'で')",19
"('ある', '云う')",19
"('から', 'もの')",19
"('で', '自分')",19
"('って', 'は')",19
"('より', 'を')",19
"('それ', 'を')",19
"('か', '人間')",19
"('の', '知れ')",19
"('を', '等')",19
"('す', 'の')",19
"('で', 'へ')",19
"('それ', 'て')",19
"('どう', 'は')",19
"('たら', 'は')",19
"('が', 'へ')",19
"('とっ', 'に')",19
"('て', 'どう')",19
"('なく', 'も')",19
"('が', 'だけ')",19
"('で', '先生')",19
"('なら', 'も')",18
"('て', '来')",18
"('いい', 'て')",18
"('おら', 'の')",18
"('ごとく', 'の')",18
"('いる', 'ない')",18
"('を', '上')",18
"('なる', 'の')",18
"('て', 'なる')",18
"('だ', '吾輩')",18
"('せ', 'は')",18
"('うち', 'の')",18
"('だけ', 'を')",18
"('そう', 'だ')",18
"('に', '君')",18
"('する', 'ない')",18
"('し', 'する')",18
"('する', 'た')",18
"('た', 'なっ')",18
"('事', '事')",18
"('から', '人間')",18
"('もの', 'ん')",18
"('を', '何')",18
"('な', '事')",18
"('あり', 'の')",18
"('あまり', 'の')",18
"('から', 'さ')",18
"('が', '自分')",18
"('さ', '猫')",18
"('れ', 'を')",18
"('だ', 'って')",18
"('も', '人')",18
"('の', '見る')",18
"('が', 'そう')",18
"('なく', '猫')",18
"('で', 'より')",18
"('て', 'より')",18
"('より', '猫')",18
"('て', '御')",18
"('ね', 'の')",18
"('か', 'です')",18
"('て', '至る')",18
"('を', '至る')",18
"('が', '御')",18
"('たら', '猫')",18
"('たら', 'で')",18
"('た', 'ね')",18
"('で', 'ね')",18
"('から', 'ます')",18
"('って', 'て')",18
"('あっ', 'と')",18
"('は', '先生')",18
"('の', '訳')",18
"('ず', 'で')",18
"('て', '以上')",18
"('の', '苦')",18
"('の', '沙弥')",18
"('ため', 'に')",18
"('こんな', 'に')",17
"('出来', '猫')",17
"('は', '出来')",17
"('に', '顔')",17
"('は', '顔')",17
"('て', '思っ')",17
"('これ', 'て')",17
"('これ', 'で')",17
"('の', '寝')",17
"('いる', 'から')",17
"('さえ', '猫')",17
"('と', 'ながら')",17
"('て', 'ながら')",17
"('と', 'まで')",17
"('は', 'ほど')",17
"('しかし', 'と')",17
"('で', '者')",17
"('あっ', 'に')",17
"('あっ', 'た')",17
"('が', 'なら')",17
"('いう', 'と')",17
"('から', 'ん')",17
"('な', '人間')",17
"('が', '顔')",17
"('さ', 'た')",17
"('さ', 'で')",17
"('ん', '事')",17
"('て', '見る')",17
"('と', '見る')",17
"('が', 'ぬ')",17
"('は', '年')",17
"('が', 'より')",17
"('な', 'な')",17
"('それ', 'に')",17
"('か', '云う')",17
"('の', '自己')",17
"('が', '等')",17
"('ござい', 'は')",17
"('ます', '猫')",17
"('だろう', 'を')",17
"('それ', 'た')",17
"('て', 'とっ')",17
"('さん', 'は')",17
"('は', '鼠')",17
"('ず', '猫')",17
"('の', '拝見')",17
"('た', '度')",16
"('ない', '一')",16
"('て', 'なら')",16
"('て', '出来')",16
"('い', 'で')",16
"('い', 'は')",16
"('で', '出来')",16
"('に', '来')",16
"('で', '来')",16
"('の', '思っ')",16
"('ところ', '猫')",16
"('で', 'ところ')",16
"('が', 'さえ')",16
"('上', '猫')",16
"('は', '彼')",16
"('しかし', 'は')",16
"('どう', 'も')",16
"('御', '猫')",16
"('いる', 'な')",16
"('なっ', 'は')",16
"('が', 'なっ')",16
"('じゃ', '猫')",16
"('たい', 'と')",16
"('おい', 'の')",16
"('くらい', 'で')",16
"('事', '人間')",16
"('の', 'もっ')",16
"('さ', 'を')",16
"('さ', 'も')",16
"('あろう', 'で')",16
"('など', 'も')",16
"('に', '見る')",16
"('そう', 'た')",16
"('から', 'よう')",16
"('猫', '等')",16
"('と', '等')",16
"('だ', '云う')",16
"('この', '吾輩')",16
"('か', '何')",16
"('で', 'まで')",16
"('た', 'まし')",16
"('ます', 'も')",16
"('の', '下女')",16
"('て', 'です')",16
"('ござい', 'て')",16
"('ござい', 'た')",16
"('あいつ', 'て')",16
"('の', '全く')",16
"('いい', 'か')",16
"('に', 'ほど')",16
"('は', '三')",16
"('ため', 'を')",16
"('の', 'もし')",16
"('ながら', 'は')",15
"('ながら', '猫')",15
"('で', 'なら')",15
"('と', 'なら')",15
"('ぬ', 'も')",15
"('と', '出来')",15
"('も', '何')",15
"('いい', 'は')",15
"('おら', 'て')",15
"('ごとき', 'の')",15
"('ある', 'いる')",15
"('ない', 'ない')",15
"('の', '本')",15
"('なる', '猫')",15
"('しかし', 'で')",15
"('も', 'れ')",15
"('れ', '猫')",15
"('だけ', 'と')",15
"('だけ', '猫')",15
"('な', 'なる')",15
"('は', 'まだ')",15
"('ある', 'ある')",15
"('が', '中')",15
"('て', '分ら')",15
"('いう', 'に')",15
"('しかし', 'に')",15
"('おい', 'に')",15
"('ある', 'その')",15
"('から', '見')",15
"('が', '出来')",15
"('は', '自分')",15
"('に', '自分')",15
"('あろう', 'に')",15
"('な', '見')",15
"('を', '顔')",15
"('って', '猫')",15
"('ここ', 'の')",15
"('に', 'や')",15
"('と', 'や')",15
"('て', 'や')",15
"('し', '主人')",15
"('ある', '主人')",15
"('を', '来')",15
"('が', '君')",15
"('です', 'ん')",15
"('か', 'ませ')",15
"('の', '一般')",15
"('た', 'ぬ')",15
"('の', 'まい')",15
"('まで', 'も')",15
"('が', 'たら')",15
"('て', '三毛')",15
"('は', 'まし')",15
"('い', 'を')",15
"('が', 'どう')",15
"('と', '共')",15
"('と', '下女')",15
"('は', '心')",15
"('に', '共')",15
"('あの', 'と')",15
"('と', '野良')",15
"('あの', 'た')",15
"('あの', 'は')",15
"('た', '野良')",15
"('は', '野良')",15
"('に', '訳')",15
"('の', '迷亭')",15
"('が', 'ず')",15
"('ざる', 'の')",15
"('ざる', 'に')",15
"('は', '以上')",15
"('に', '生れ')",15
"('た', 'だけ')",15
"('こんな', 'は')",14
"('一', '事')",14
"('も', '出来')",14
"('は', '方')",14
"('おら', 'は')",14
"('いる', '吾輩')",14
"('これ', 'を')",14
"('と', 'ほど')",14
"('しかし', 'を')",14
"('に', '彼')",14
"('が', 'せ')",14
"('から', 'れ')",14
"('どう', '猫')",14
"('に', '御')",14
"('あっ', 'を')",14
"('し', 'よう')",14
"('の', '教師')",14
"('に', '家')",14
"('を', '家')",14
"('から', 'この')",14
"('なっ', '猫')",14
"('は', '分ら')",14
"('たい', 'は')",14
"('たい', 'に')",14
"('しかし', 'て')",14
"('は', '到底')",14
"('ある', 'ん')",14
"('し', 'ん')",14
"('と', '考える')",14
"('を', '出来')",14
"('あり', 'は')",14
"('が', '出来る')",14
"('の', '日本')",14
"('の', 'られ')",14
"('か', 'へ')",14
"('の', 'ませ')",14
"('ませ', 'ん')",14
"('は', 'ませ')",14
"('に', 'ね')",14
"('そんな', 'の')",14
"('も', 'より')",14
"('も', '知れ')",14
"('だ', 'よう')",14
"('い', 'た')",14
"('に', '知れ')",14
"('は', '至る')",14
"('で', '等')",14
"('し', '一')",14
"('たら', 'も')",14
"('て', '間')",14
"('どう', 'を')",14
"('は', 'ばかり')",14
"('ござい', 'ます')",14
"('は', '下女')",14
"('か', 'この')",14
"('の', '三毛')",14
"('の', 'れる')",14
"('あんな', 'て')",14
"('あんな', 'に')",14
"('と', '心')",14
"('から', '云う')",14
"('ただ', 'の')",14
"('と', 'よ')",14
"('た', 'ほど')",14
"('に', '三')",14
"('は', '訳')",14
"('の', '児')",14
"('も', '思っ')",14
"('どう', 'に')",14
"('せ', 'の')",14
"('に', 'のみ')",14
"('の', '生れ')",14
"('だろう', 'と')",14
"('の', '無論')",14
"('で', 'ほど')",14
"('て', '時')",14
"('に', '同じ')",14
"('て', '同じ')",14
"('つい', 'に')",14
"('に', '度')",13
"('こんな', 'て')",13
"('い', '猫')",13
"('が', '方')",13
"('の', '方')",13
"('が', '来')",13
"('た', '来')",13
"('の', '有し')",13
"('の', 'もっとも')",13
"('は', '中')",13
"('中', '猫')",13
"('しかし', '猫')",13
"('ある', 'ぬ')",13
"('だ', '御')",13
"('だ', '主人')",13
"('君', '猫')",13
"('だけ', 'も')",13
"('そう', 'も')",13
"('あっ', 'が')",13
"('ある', 'ば')",13
"('家', '猫')",13
"('て', 'まだ')",13
"('の', 'まだ')",13
"('で', '家')",13
"('た', '二')",13
"('で', '二')",13
"('で', 'ながら')",13
"('の', '少し')",13
"('で', '中')",13
"('じゃ', 'て')",13
"('云う', '吾輩')",13
"('いう', 'で')",13
"('くらい', '吾輩')",13
"('する', '人間')",13
"('あろう', 'と')",13
"('あろう', 'が')",13
"('いい', 'が')",13
"('に', '考える')",13
"('で', '顔')",13
"('も', '顔')",13
"('ない', 'など')",13
"('いい', 'も')",13
"('な', '一')",13
"('一', '人間')",13
"('なかなか', 'の')",13
"('て', '出来る')",13
"('し', 'ぬ')",13
"('が', 'なく')",13
"('で', 'なく')",13
"('の', '分ら')",13
"('を', '見る')",13
"('て', '疋')",13
"('は', '上')",13
"('の', '門下')",13
"('へ', 'も')",13
"('それ', '猫')",13
"('が', 'それ')",13
"('が', 'ね')",13
"('です', 'も')",13
"('だ', 'ませ')",13
"('って', 'ん')",13
"('それ', 'も')",13
"('なら', 'を')",13
"('に', '寒月')",13
"('って', 'を')",13
"('は', '知れ')",13
"('に', '真面目')",13
"('て', '真面目')",13
"('と', '至る')",13
"('に', '日')",13
"('に', 'また')",13
"('の', 'また')",13
"('の', '吾')",13
"('それ', 'で')",13
"('から', '御')",13
"('て', 'まし')",13
"('で', 'どう')",13
"('ある', 'ます')",13
"('ます', 'よう')",13
"('の', '共')",13
"('は', '今')",13
"('だろう', 'に')",13
"('やり', 'を')",13
"('さ', 'だ')",13
"('に', '心')",13
"('た', '上')",13
"('さん', 'と')",13
"('さん', 'の')",13
"('て', '二')",13
"('さん', 'を')",13
"('て', 'よ')",13
"('あっ', 'も')",13
"('この', 'もの')",13
"('し', 'など')",13
"('を', '先生')",13
"('ず', 'た')",13
"('い', 'が')",13
"('て', '君')",13
"('この', 'な')",13
"('ざる', 'を')",13
"('ざる', 'は')",13
"('のみ', 'は')",13
"('の', 'のみ')",13
"('の', '不')",13
"('で', '度')",13
"('ため', 'は')",13
"('たる', 'に')",13
"('の', '点')",13
"('の', 'る')",13
"('とうてい', 'の')",13
"('と', '時')",13
"('の', '前')",13
"('こんな', 'も')",12
"('は', '来')",12
"('は', '決して')",12
"('の', '決して')",12
"('と', '顔')",12
"('猫', '顔')",12
"('に', '思っ')",12
"('た', 'ところ')",12
"('の', '見え')",12
"('さえ', 'ない')",12
"('彼', '猫')",12
"('と', '中')",12
"('ほど', 'も')",12
"('ない', 'れ')",12
"('ある', 'この')",12
"('の', 'ばかり')",12
"('どこ', 'の')",12
"('ちょっと', 'に')",12
"('ない', '見')",12
"('もの', '吾輩')",12
"('たい', 'で')",12
"('たい', 'て')",12
"('いう', 'の')",12
"('の', '到底')",12
"('くらい', 'た')",12
"('おい', 'て')",12
"('し', 'ながら')",12
"('する', 'な')",12
"('さ', 'ない')",12
"('た', '顔')",12
"('ない', 'ん')",12
"('いい', 'で')",12
"('な', 'など')",12
"('ここ', 'に')",12
"('も', '出来る')",12
"('の', '十')",12
"('ある', 'など')",12
"('ある', '人')",12
"('その', 'な')",12
"('これ', 'に')",12
"('か', '見')",12
"('です', '猫')",12
"('ね', '猫')",12
"('です', 'に')",12
"('あり', 'か')",12
"('ませ', 'を')",12
"('は', '寒月')",12
"('そんな', 'は')",12
"('は', '一般')",12
"('を', '思う')",12
"('の', '世間')",12
"('の', '真面目')",12
"('も', '等')",12
"('た', 'まで')",12
"('を', '間')",12
"('は', '間')",12
"('と', '間')",12
"('ござい', 'と')",12
"('ます', 'ん')",12
"('だろう', 'て')",12
"('の', '立っ')",12
"('こんな', 'の')",12
"('あんな', 'の')",12
"('の', '勝とう')",12
"('か', 'どう')",12
"('さん', 'た')",12
"('を', '経')",12
"('あの', 'を')",12
"('を', '野良')",12
"('が', 'くらい')",12
"('し', 'たら')",12
"('で', '三')",12
"('先生', '猫')",12
"('て', '訳')",12
"('と', '迷亭')",12
"('に', '風')",12
"('の', '以上')",12
"('に', '事件')",12
"('の', '発達')",12
"('ど', 'は')",12
"('て', '番茶')",12
"('て', '云い')",12
"('て', '教員')",12
"('て', '云っ')",12
"('て', '髭')",12
"('て', '生やし')",12
"('て', '怪しから')",12
"('せ', 'と')",12
"('に', '点')",12
"('とっ', 'は')",12
"('つい', 'の')",12
"('も', '時')",12
"('の', '倍')",12
"('か', 'どっち')",12
"('なる', 'もの')",12
"('事', '度')",11
"('て', '寝')",11
"('で', '方')",11
"('来', '猫')",11
"('と', '来')",11
"('いい', '猫')",11
"('これ', '猫')",11
"('か', 'これ')",11
"('だ', 'ところ')",11
"('さえ', 'し')",11
"('さえ', 'た')",11
"('から', 'から')",11
"('ほど', '猫')",11
"('も', '中')",11
"('の', 'べき')",11
"('を', '挨拶')",11
"('が', '彼')",11
"('ぜ', 'の')",11
"('て', 'どこ')",11
"('あっ', 'し')",11
"('あっ', 'で')",11
"('し', 'ば')",11
"('二', '猫')",11
"('ちょっと', 'の')",11
"('もの', 'よう')",11
"('いう', 'は')",11
"('いう', 'て')",11
"('いう', '猫')",11
"('もの', '人間')",11
"('人間', '吾輩')",11
"('に', '癖')",11
"('いう', 'が')",11
"('事', '何')",11
"('ない', '何')",11
"('の', '考える')",11
"('から', 'する')",11
"('あまり', 'と')",11
"('も', '考える')",11
"('じゃ', 'は')",11
"('に', '十')",11
"('に', '出来る')",11
"('は', '語')",11
"('もの', '一')",11
"('猫', '見る')",11
"('し', '見る')",11
"('と', '疋')",11
"('を', '疋')",11
"('と', 'られ')",11
"('これ', 'と')",11
"('が', '年')",11
"('ある', '見')",11
